Symbol,Date,Close
GOOG,"Mar 15, 2018",57.48
GOOG,"Mar 16, 2018",56.79
GOOG,"Mar 19, 2018",54.99
GOOG,"Mar 20, 2018",54.89
GOOG,"Mar 21, 2018",54.54
GOOG,"Mar 22, 2018",52.45
GOOG,"Mar 23, 2018",51.08
GOOG,"Mar 26, 2018",52.66
GOOG,"Mar 27, 2018",50.26
GOOG,"Mar 28, 2018",50.23
GOOG,"Mar 29, 2018",51.59
GOOG,"Apr 2, 2018",50.32
GOOG,"Apr 3, 2018",50.67
GOOG,"Apr 4, 2018",51.26
GOOG,"Apr 5, 2018",51.39
GOOG,"Apr 6, 2018",50.35
GOOG,"Apr 9, 2018",50.77
GOOG,"Apr 10, 2018",51.58
GOOG,"Apr 11, 2018",51
GOOG,"Apr 12, 2018",51.63
GOOG,"Apr 13, 2018",51.46
GOOG,"Apr 16, 2018",51.9
GOOG,"Apr 17, 2018",53.71
GOOG,"Apr 18, 2018",53.6
GOOG,"Apr 19, 2018",54.39
GOOG,"Apr 20, 2018",53.65
GOOG,"Apr 23, 2018",53.37
GOOG,"Apr 24, 2018",51
GOOG,"Apr 25, 2018",51.06
GOOG,"Apr 26, 2018",52
GOOG,"Apr 27, 2018",51.5
GOOG,"Apr 30, 2018",50.87
GOOG,"May 1, 2018",51.87
GOOG,"May 2, 2018",51.22
GOOG,"May 3, 2018",51.19
GOOG,"May 4, 2018",52.41
GOOG,"May 7, 2018",52.74
GOOG,"May 8, 2018",52.7
GOOG,"May 9, 2018",54.14
GOOG,"May 10, 2018",54.88
GOOG,"May 11, 2018",54.91
GOOG,"May 14, 2018",55.01
GOOG,"May 15, 2018",53.96
GOOG,"May 16, 2018",54.09
GOOG,"May 17, 2018",53.93
GOOG,"May 18, 2018",53.32
GOOG,"May 21, 2018",53.98
GOOG,"May 22, 2018",53.49
GOOG,"May 23, 2018",53.98
GOOG,"May 24, 2018",53.96
GOOG,"May 25, 2018",53.78
GOOG,"May 29, 2018",53.02
GOOG,"May 30, 2018",53.39
GOOG,"May 31, 2018",53.39
GOOG,"Jun 1, 2018",55.98
GOOG,"Jun 4, 2018",56.96
GOOG,"Jun 5, 2018",56.98
GOOG,"Jun 6, 2018",56.84
GOOG,"Jun 7, 2018",56.19
GOOG,"Jun 8, 2018",56.04
GOOG,"Jun 11, 2018",56.5
GOOG,"Jun 12, 2018",56.97
GOOG,"Jun 13, 2018",56.74
GOOG,"Jun 14, 2018",57.61
GOOG,"Jun 15, 2018",57.61
GOOG,"Jun 18, 2018",58.67
GOOG,"Jun 19, 2018",58.4
GOOG,"Jun 20, 2018",58.49
GOOG,"Jun 21, 2018",57.88
GOOG,"Jun 22, 2018",57.77
GOOG,"Jun 25, 2018",56.24
GOOG,"Jun 26, 2018",55.92
GOOG,"Jun 27, 2018",55.2
GOOG,"Jun 28, 2018",55.71
GOOG,"Jun 29, 2018",55.78
GOOG,"Jul 2, 2018",56.37
GOOG,"Jul 3, 2018",55.14
GOOG,"Jul 5, 2018",56.21
GOOG,"Jul 6, 2018",57.01
GOOG,"Jul 9, 2018",57.7
GOOG,"Jul 10, 2018",57.64
GOOG,"Jul 11, 2018",57.7
GOOG,"Jul 12, 2018",59.17
GOOG,"Jul 13, 2018",59.44
GOOG,"Jul 16, 2018",59.19
GOOG,"Jul 17, 2018",59.94
GOOG,"Jul 18, 2018",59.79
GOOG,"Jul 19, 2018",59.35
GOOG,"Jul 20, 2018",59.25
GOOG,"Jul 23, 2018",60.28
GOOG,"Jul 24, 2018",62.4
GOOG,"Jul 25, 2018",63.19
GOOG,"Jul 26, 2018",63.42
GOOG,"Jul 27, 2018",61.93
GOOG,"Jul 30, 2018",60.99
GOOG,"Jul 31, 2018",60.86
GOOG,"Aug 1, 2018",61
GOOG,"Aug 2, 2018",61.31
GOOG,"Aug 3, 2018",61.19
GOOG,"Aug 6, 2018",61.24
GOOG,"Aug 7, 2018",62.11
GOOG,"Aug 8, 2018",62.28
GOOG,"Aug 9, 2018",62.46
GOOG,"Aug 10, 2018",61.88
GOOG,"Aug 13, 2018",61.75
GOOG,"Aug 14, 2018",62.11
GOOG,"Aug 15, 2018",60.72
GOOG,"Aug 16, 2018",60.32
GOOG,"Aug 17, 2018",60.05
GOOG,"Aug 20, 2018",60.39
GOOG,"Aug 21, 2018",60.08
GOOG,"Aug 22, 2018",60.37
GOOG,"Aug 23, 2018",60.27
GOOG,"Aug 24, 2018",61.03
GOOG,"Aug 27, 2018",62.09
GOOG,"Aug 28, 2018",61.56
GOOG,"Aug 29, 2018",62.47
GOOG,"Aug 30, 2018",61.96
GOOG,"Aug 31, 2018",60.91
GOOG,"Sep 4, 2018",59.85
GOOG,"Sep 5, 2018",59.32
GOOG,"Sep 6, 2018",58.57
GOOG,"Sep 7, 2018",58.24
GOOG,"Sep 10, 2018",58.23
GOOG,"Sep 11, 2018",58.87
GOOG,"Sep 12, 2018",58.14
GOOG,"Sep 13, 2018",58.77
GOOG,"Sep 14, 2018",58.63
GOOG,"Sep 17, 2018",57.8
GOOG,"Sep 18, 2018",58.06
GOOG,"Sep 19, 2018",58.55
GOOG,"Sep 20, 2018",59.34
GOOG,"Sep 21, 2018",58.3
GOOG,"Sep 24, 2018",58.67
GOOG,"Sep 25, 2018",59.23
GOOG,"Sep 26, 2018",59.02
GOOG,"Sep 27, 2018",59.73
GOOG,"Sep 28, 2018",59.67
GOOG,"Oct 1, 2018",59.77
GOOG,"Oct 2, 2018",60.01
